RespondantID,Brand,Cores,RAM,HardDrive,DSize,DQuality,TouchScreen,Rating
4,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,1
4,Ethos,Quad Core,4GB,1024 GB,15.2 Inch,Normal,Yes,9
4,Lenovo,Dual Core,8 GB,256 GB,12 Inch,HD,No,3
4,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,9
5,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,7
5,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,1
5,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,6
5,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,6
5,Ethos,Dual Core,4GB,256 GB,14 Inch,Normal,Yes,7
5,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,9
5,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,4
5,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,9
5,Apple,Dual Core,16 GB,256 GB,15.2 Inch,Normal,No,2
6,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,1
6,Apple,Dual Core,8 GB,512 GB,15.2 Inch,Normal,Yes,4
6,Apple,Dual Core,16 GB,256 GB,15.2 Inch,Normal,No,2
6,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,3
6,Ethos,Quad Core,4GB,1024 GB,15.2 Inch,Normal,Yes,7
6,Lenovo,Quad Core,8 GB,512 GB,15.2 Inch,HD,Yes,1
6,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,9
6,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,9
6,Acer,Dual Core,16 GB,1024 GB,12 Inch,Normal,Yes,3
7,Apple,Quad Core,4GB,1024 GB,12 Inch,HD,No,5
7,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,1
7,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,8
7,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,7
7,Acer,Dual Core,16 GB,1024 GB,12 Inch,Normal,Yes,1
7,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,3
7,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,7
7,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,8
7,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,4
8,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,8
8,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,2
8,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,5
8,Apple,Dual Core,8 GB,512 GB,15.2 Inch,Normal,Yes,7
8,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,4
8,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,2
8,Ethos,Quad Core,8 GB,512 GB,12 Inch,HD,No,2
8,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,9
8,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,9
9,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,9
9,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,9
9,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,7
9,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,8
9,Lenovo,Quad Core,4GB,512 GB,14 Inch,Normal,No,3
9,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,3
9,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,4
9,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,3
9,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,5
10,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,4
10,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,1
10,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,7
10,Lenovo,Dual Core,8 GB,256 GB,12 Inch,HD,No,8
10,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,5
10,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,9
10,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,5
10,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,5
10,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,6
11,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,8
11,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,3
11,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,9
11,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,9
11,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,6
11,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,8
11,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,9
11,Ethos,Dual Core,8 GB,1024 GB,14 Inch,Normal,No,9
11,Ethos,Quad Core,8 GB,512 GB,12 Inch,HD,No,5
12,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,6
12,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,8
12,Asus,Quad Core,4GB,512 GB,12 Inch,Normal,Yes,5
12,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,7
12,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,4
12,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,4
12,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,1
12,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,1
12,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,8
13,Ethos,Quad Core,8 GB,512 GB,12 Inch,HD,No,1
13,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,8
13,Lenovo,Quad Core,8 GB,512 GB,15.2 Inch,HD,Yes,1
13,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,3
13,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,7
13,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,2
13,Ethos,Dual Core,8 GB,1024 GB,14 Inch,Normal,No,9
13,Ethos,Quad Core,4GB,1024 GB,15.2 Inch,Normal,Yes,9
13,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,8
14,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,3
14,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,2
14,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,6
14,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,3
14,Asus,Quad Core,4GB,512 GB,12 Inch,Normal,Yes,9
14,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,9
14,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,2
14,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,1
14,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,4
15,Apple,Dual Core,8 GB,512 GB,15.2 Inch,Normal,Yes,7
15,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,4
15,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,6
15,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,9
15,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,1
15,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,9
15,Ethos,Dual Core,4GB,256 GB,14 Inch,Normal,Yes,1
15,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,8
15,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,9
16,Apple,Quad Core,4GB,1024 GB,12 Inch,HD,No,3
16,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,1
16,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,7
16,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,3
16,Lenovo,Dual Core,8 GB,256 GB,12 Inch,HD,No,3
16,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,1
16,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,6
16,Lenovo,Dual Core,8 GB,256 GB,12 Inch,HD,No,8
16,Acer,Dual Core,16 GB,1024 GB,12 Inch,Normal,Yes,5
17,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,9
17,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,4
17,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,6
17,Lenovo,Dual Core,8 GB,256 GB,12 Inch,HD,No,4
17,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,3
17,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,7
17,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,2
17,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,9
17,Apple,Dual Core,16 GB,256 GB,15.2 Inch,Normal,No,6
18,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,9
18,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,6
18,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,9
18,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,6
18,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,9
18,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,6
18,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,6
18,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,9
18,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,8
19,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,8
19,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,9
19,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,8
19,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,2
19,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,8
19,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,1
19,Apple,Dual Core,16 GB,256 GB,15.2 Inch,Normal,No,6
19,Acer,Dual Core,16 GB,1024 GB,12 Inch,Normal,Yes,1
19,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,9
20,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,5
20,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,1
20,Asus,Quad Core,16 GB,1024 GB,12 Inch,HD,Yes,1
20,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,5
20,Apple,Dual Core,8 GB,512 GB,15.2 Inch,Normal,Yes,4
20,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,2
20,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,9
20,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,9
20,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,4
21,Apple,Dual Core,16 GB,256 GB,15.2 Inch,Normal,No,4
21,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,8
21,Ethos,Quad Core,8 GB,512 GB,12 Inch,HD,No,1
21,Apple,Dual Core,8 GB,512 GB,15.2 Inch,Normal,Yes,1
21,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,4
21,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,3
21,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,9
21,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,5
21,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,4
22,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,6
22,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,4
22,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,7
22,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,9
22,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,4
22,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,7
22,Apple,Dual Core,8 GB,512 GB,15.2 Inch,Normal,Yes,2
22,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,5
22,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,6
23,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,6
23,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,6
23,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,4
23,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,4
23,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,4
23,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,2
23,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,9
23,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,6
23,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,4
24,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,3
24,Asus,Quad Core,16 GB,1024 GB,12 Inch,HD,Yes,3
24,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,4
24,Lenovo,Quad Core,4GB,512 GB,14 Inch,Normal,No,9
24,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,4
24,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,1
24,Acer,Dual Core,16 GB,1024 GB,12 Inch,Normal,Yes,5
24,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,7
24,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,2
25,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,8
25,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,4
25,Apple,Dual Core,16 GB,256 GB,15.2 Inch,Normal,No,4
25,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,8
25,Ethos,Dual Core,4GB,256 GB,14 Inch,Normal,Yes,6
25,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,8
25,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,7
25,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,2
25,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,4
26,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,4
26,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,8
26,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,9
26,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,1
26,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,4
26,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,4
26,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,7
26,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,4
26,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,8
27,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,6
27,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,4
27,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,4
27,Ethos,Quad Core,4GB,1024 GB,15.2 Inch,Normal,Yes,9
27,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,2
27,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,9
27,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,9
27,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,9
27,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,7
28,Lenovo,Quad Core,4GB,512 GB,14 Inch,Normal,No,6
28,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,6
28,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,6
28,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,6
28,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,8
28,Ethos,Quad Core,8 GB,512 GB,12 Inch,HD,No,3
28,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,7
28,Asus,Quad Core,4GB,512 GB,12 Inch,Normal,Yes,2
28,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,2
29,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,6
29,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,2
29,Apple,Quad Core,16 GB,1024 GB,14 Inch,HD,No,9
29,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,8
29,Asus,Quad Core,16 GB,1024 GB,12 Inch,HD,Yes,1
29,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,2
29,Apple,Quad Core,4GB,1024 GB,12 Inch,HD,No,9
29,Lenovo,Quad Core,8 GB,512 GB,15.2 Inch,HD,Yes,7
29,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,5
30,Apple,Quad Core,4GB,1024 GB,12 Inch,HD,No,3
30,Ethos,Quad Core,8 GB,512 GB,12 Inch,HD,No,6
30,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,8
30,Asus,Quad Core,16 GB,1024 GB,12 Inch,HD,Yes,4
30,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,8
30,Ethos,Dual Core,4GB,256 GB,14 Inch,Normal,Yes,6
30,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,1
30,Apple,Quad Core,4GB,1024 GB,12 Inch,HD,No,3
30,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,8
31,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,8
31,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,9
31,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,5
31,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,9
31,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,9
31,Apple,Dual Core,16 GB,256 GB,15.2 Inch,Normal,No,6
31,Acer,Dual Core,16 GB,1024 GB,12 Inch,Normal,Yes,1
31,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,4
31,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,9
32,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,4
32,Apple,Dual Core,8 GB,512 GB,15.2 Inch,Normal,Yes,7
32,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,4
32,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,8
32,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,6
32,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,9
32,Apple,Quad Core,4GB,1024 GB,12 Inch,HD,No,9
32,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,6
32,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,8
33,Apple,Quad Core,4GB,1024 GB,12 Inch,HD,No,8
33,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,5
33,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,3
33,Apple,Quad Core,4GB,1024 GB,12 Inch,HD,No,9
33,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,5
33,Lenovo,Quad Core,4GB,512 GB,14 Inch,Normal,No,9
33,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,7
33,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,2
33,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,1
34,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,7
34,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,3
34,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,8
34,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,4
34,Lenovo,Quad Core,16 GB,256 GB,15.2 Inch,Normal,Yes,8
34,Ethos,Dual Core,4GB,256 GB,14 Inch,Normal,Yes,1
34,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,5
34,Lenovo,Dual Core,16 GB,1024 GB,14 Inch,Normal,No,6
34,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,5
35,Acer,Quad Core,4GB,256 GB,15.2 Inch,HD,No,8
35,Apple,Dual Core,4GB,512 GB,14 Inch,HD,Yes,8
35,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,9
35,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,9
35,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,4
35,Acer,Quad Core,8 GB,256 GB,14 Inch,HD,No,4
35,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,1
35,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,3
35,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,5
36,Lenovo,Quad Core,8 GB,512 GB,15.2 Inch,HD,Yes,7
36,Asus,Quad Core,16 GB,1024 GB,12 Inch,HD,Yes,2
36,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,5
36,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,9
36,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,5
36,Apple,Dual Core,8 GB,512 GB,15.2 Inch,Normal,Yes,4
36,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,4
36,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,8
36,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,3
37,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,3
37,Lenovo,Quad Core,8 GB,512 GB,15.2 Inch,HD,Yes,6
37,Asus,Quad Core,16 GB,1024 GB,12 Inch,HD,Yes,7
37,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,3
37,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,2
37,Acer,Quad Core,16 GB,512 GB,14 Inch,Normal,Yes,4
37,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,5
37,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,6
37,Lenovo,Quad Core,8 GB,512 GB,15.2 Inch,HD,Yes,1
38,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,8
38,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,9
38,Asus,Dual Core,8 GB,256 GB,14 Inch,HD,Yes,5
38,Lenovo,Quad Core,8 GB,512 GB,15.2 Inch,HD,Yes,1
38,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,2
38,Asus,Dual Core,16 GB,512 GB,14 Inch,HD,No,6
38,Other,Dual Core,4GB,1024 GB,15.2 Inch,HD,No,9
38,Other,Quad Core,8 GB,1024 GB,14 Inch,Normal,Yes,1
38,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,9
39,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,4
39,Ethos,Quad Core,8 GB,512 GB,12 Inch,HD,No,5
39,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,2
39,Apple,Quad Core,4GB,1024 GB,12 Inch,HD,No,8
39,Acer,Dual Core,8 GB,1024 GB,15.2 Inch,HD,Yes,3
39,Other,Quad Core,4GB,256 GB,14 Inch,HD,Yes,6
39,Asus,Quad Core,8 GB,1024 GB,15.2 Inch,Normal,No,7
39,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,7
39,Ethos,Dual Core,16 GB,256 GB,12 Inch,HD,Yes,3
40,Asus,Quad Core,16 GB,1024 GB,12 Inch,HD,Yes,5
40,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,9
40,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,9
40,Apple,Quad Core,8 GB,256 GB,12 Inch,Normal,Yes,6
40,Apple,Dual Core,16 GB,256 GB,15.2 Inch,Normal,No,6
40,Acer,Dual Core,4GB,512 GB,12 Inch,Normal,No,4
40,Ethos,Quad Core,4GB,1024 GB,15.2 Inch,Normal,Yes,2
40,Acer,Dual Core,16 GB,1024 GB,12 Inch,Normal,Yes,1
40,Other,Quad Core,16 GB,256 GB,12 Inch,Normal,No,6
41,Ethos,Quad Core,16 GB,512 GB,15.2 Inch,HD,No,3
41,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,4
41,Other,Dual Core,16 GB,512 GB,15.2 Inch,HD,Yes,4
41,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,8
41,Lenovo,Quad Core,8 GB,512 GB,15.2 Inch,HD,Yes,4
41,Lenovo,Quad Core,4GB,512 GB,14 Inch,Normal,No,8
41,Other,Dual Core,8 GB,512 GB,12 Inch,Normal,No,7
41,Lenovo,Dual Core,8 GB,256 GB,12 Inch,HD,No,7
41,Asus,Dual Core,4GB,256 GB,15.2 Inch,Normal,No,9
42,Lenovo,Dual Core,4GB,1024 GB,12 Inch,HD,Yes,9
42,Ethos,Dual Core,4GB,256 GB,14 Inch,Normal,Yes,3
